material_type,lathe_efficiency,machine_hours,energy_consumption,temperature,humidity,machine_type,operational_settings,wastage,certifications,safety_incidents,recycling_rate,first_pass_yield,downtime_duration,tool_maintenance_frequency,scrap_handling_efficiency,rd_investment,packaging_waste,lifecycle_analysis,renewable_energy,surface_emissions,return_rate,painting_emissions,heating_energy,inventory_turnover,distance_to_suppliers,carbon_capture_efficiency,secondary_process_emissions,worker_experience,tool_wear_level,supplier_reliability,on_time_delivery_rate,training_hours,factory_age,environmental_fines,automation_ratio,water_usage,scrap_rate,energy_source,shift_timing,transport_emissions,machines_in_operation,turnover_rate,compressor_efficiency,ventilation_usage,inspection_accuracy,noise_level,num_shifts,maintenance_downtime,customer_complaints,cooling_energy,labor_hours_per_unit,material_defect_rate,production_volume,cycle_time,calibration_frequency,startup_emissions,factory_location,operator_skill,renewable_energy_utilization,machine_age,supply_chain_emissions,water_reuse_rate,product_weight,batch_size,supply_chain_complexity,num_suppliers,inspection_frequency,training_costs,process_variability,packaging_material,hazardous_waste,line_speed,smart_sensor_usage,cooling_water_temp,workstation_count,logistics_emissions,lean_practices_frequency,power_outage_frequency,labor_costs,supplier_proximity,govt_subsidy_access,regulatory_inspections,scrap_reuse_rate,generator_fuel_consumption,skilled_labor_availability,component_type,raw_material_cost,pollution_control,quality_audit_frequency,local_transport_emissions,worker_wage,sustainability_awareness,CO2_emissions
Steel,0.803341565,7.583505296,93.32997131,22.02744635,57.50660149,Lathe_B,Setting_1,0.018911156,ISO_14001,Major,0.6639582,0.910601763,1.654705518,10.19333107,0.866674911,0.082959261,6.004633105,Advanced,0.927711605,1.968459206,0.008722198,0.26010626,44.40819572,8.647388164,361.3379248,0.369708748,7.41677734,Beginner,54.0465663,0.971552448,0.872894301,41.47927877,11.20921527,33015.86525,0.128871921,5.391849646,0.153404043,Wind,Evening,0.070621966,36,0.190316643,0.921359298,4.168126584,0.922578704,78.47562549,2,1.71860626,2,79.94644176,0.587833141,0.036985439,194.5373968,179.6119118,11.8085265,8.31817083,Rural,High,0.61399961,14.26249341,31.92055418,0.346989789,42.55417704,11,Moderate,1,22.96367704,3718.354704,0.041001938,Plastic,4.857279565,3.383266861,Medium,19.77623843,30,81.50140849,0.089196267,2.472555328,381.7242736,480.9991189,No,8.958526487,0.308497544,4.05034574,High,Suspension,191.2646458,None,2.296276562,0.701507053,413.5782703,High,960.5313569
Composite,0.837258551,10.48032289,103.5469631,23.38752566,47.18068233,Lathe_B,Setting_1,0.122512508,ISO_14001,Minor,0.110669748,0.988933319,1.256541821,1.416997083,0.926936,0.070322172,7.42719639,Basic,0.983369846,4.967733693,0.006934343,1.832811857,31.20884241,4.332093106,231.591348,0.708079933,4.644236197,Intermediate,15.08768273,0.83584039,0.554844978,30.01866198,22.42496389,10006.95268,0.537948453,3.793578153,0.14822124,Wind,Night,0.067013798,28,0.249265865,0.703169001,7.605434877,0.936243265,91.34615347,3,0.973294609,2,64.38455531,1.543036004,0.027538729,451.3573813,127.837884,5.522527145,5.751640951,Urban,Medium,0.713904392,5.823349946,43.73004303,0.81020524,5.351375857,488,Complex,17,10.789597,4666.476949,0.016239287,Metal,3.31422687,4.258362249,Medium,17.21030778,89,74.1942625,0.061606227,2.06383157,750.8600463,408.9133528,Yes,1.060298852,0.105246302,2.804742596,Low,Suspension,145.5543732,None,2.567073028,4.972301248,473.7371959,Low,943.4774404
Steel,0.909041154,15.83721844,91.73206753,27.35770467,59.36434665,Lathe_B,Setting_2,0.149669731,None,Major,0.950162229,0.978721715,0.314494814,7.819166598,0.899610844,0.01150723,6.537633496,None,0.711812945,0.167246581,0.028948748,0.462410905,38.48241461,5.196820479,300.9168464,0.289895399,8.183026397,Expert,27.15927976,0.897637292,0.732080127,33.03828106,3.263407134,6721.830107,0.228413882,0.666926222,0.123052228,Grid Electricity,Night,0.091054665,26,0.168370682,0.845181115,17.27867656,0.966438703,64.39350443,1,1.981372604,3,49.24593782,1.136510093,0.035053207,665.3229673,138.3356932,9.623706149,8.390484762,Urban,High,0.551365898,19.0966247,43.70029102,0.684657352,45.27471304,427,Simple,11,5.750488557,2767.079012,0.082724374,Metal,1.050495164,1.719771978,High,20.03318213,29,68.73432074,0.70690099,6.527244101,866.8212081,341.1949993,Partial,2.698181846,0.263441077,14.44562378,Moderate,Chassis,126.0436593,Moderate,2.906305231,2.022739316,542.9736166,High,932.1974178
Composite,0.895079175,11.91698365,121.4486168,23.4338116,42.52742274,Lathe_B,Setting_1,0.002153991,ISO_14001,None,0.478863464,0.996663684,0.031157724,4.239008802,0.858115062,0.044642291,2.138939641,Basic,0.747569352,1.502781706,0.034023789,0.972636745,19.36048144,13.95319483,263.1446597,0.151780181,4.194570811,Expert,60.3939998,0.987472117,0.757518269,40.96539986,6.28584563,22570.53041,0.933124032,0.609020551,0.08824015,Grid Electricity,Night,0.057545179,44,0.246970245,0.825917018,6.984819567,0.96481705,80.52255655,2,0.283052464,4,68.32223105,0.389282705,0.022917446,167.7278406,112.5215639,10.48083492,3.798195971,Urban,High,0.574658383,5.007157961,14.62867382,0.189251795,2.502120355,426,Simple,4,29.57085779,2487.867061,0.094436293,Metal,1.519247435,2.175760152,Low,12.14241241,41,52.17726081,0.618461746,8.965400607,548.8421801,318.1413108,No,10.96690701,0.489662816,11.83093581,Moderate,Brake Systems,147.2497258,Advanced,1.505424377,3.403531987,330.2156325,Low,948.4998157
Steel,0.879967604,12.71446781,80.4092384,29.59110155,58.43842805,Lathe_A,Setting_1,0.136243999,ISO_9001,Minor,0.462683192,0.860543432,0.892515284,6.426475406,0.554086782,0.02542625,4.256383959,Advanced,0.17858137,3.078830814,0.028307468,0.001063839,44.0319832,18.50343293,140.4261313,0.788949513,0.887798779,Expert,62.89368511,0.897899287,0.637307672,26.10945205,1.171426653,26814.74027,0.816905557,7.327876467,0.162275343,Solar,Day,0.069820386,19,0.136404713,0.647666982,4.15514825,0.955122017,55.41742018,2,0.43201856,3,35.87562617,0.49611553,0.075513653,595.5780948,95.10948641,6.000964094,8.885377649,Urban,High,0.153059752,3.369486006,43.34785235,0.555178454,26.45123759,139,Simple,16,27.61430195,4597.609805,0.069638384,Cardboard,3.869935185,0.79017093,Medium,17.32239083,3,9.78050864,0.209425986,2.904821054,861.5801865,410.4869614,Yes,5.44987145,0.237975647,5.473507584,High,Brake Systems,192.1716995,Advanced,1.267215302,1.205482334,345.5575143,None,720.1571239
Steel,0.794156846,5.491555856,83.0582766,21.76416896,51.65426734,CNC_1,Setting_3,0.015869563,ISO_14001,Major,0.659889998,0.875213825,1.033414584,3.227185044,0.772900101,0.034327552,2.789798156,None,0.14810918,1.76965611,0.036656459,1.832420534,29.42684103,15.93500978,457.1433178,0.488922914,8.198417279,Intermediate,10.85542486,0.91374658,0.621009546,29.33487058,3.657988371,14935.87547,0.864269608,1.139978546,0.190714517,Wind,Evening,0.091618907,3,0.111155842,0.880855415,5.967982972,0.942162355,53.07354865,3,0.725782145,2,34.68153371,0.910082996,0.034192289,834.5238152,21.40522397,6.06536438,9.704469204,Urban,Low,0.217994101,18.96048224,29.19579276,0.093404005,4.857908895,269,Simple,15,2.827164282,2091.330807,0.024214581,None,1.621115762,3.364642896,High,18.23711773,14,80.34116925,0.183583355,8.702620231,907.9964131,337.9527627,Partial,9.938275679,0.256478954,18.52522939,High,Suspension,178.2831304,Advanced,2.45491416,0.443765743,571.1391353,None,910.2265915
Steel,0.860670058,11.68570384,132.6023032,24.16674768,55.53792006,Lathe_B,Setting_1,0.023259143,ISO_14001,None,0.142201631,0.944269888,0.741510494,5.743272577,0.775633556,0.055846097,0.969017115,Advanced,0.99129345,4.260310896,0.030582782,0.575520924,13.01776691,14.94179133,340.1168773,0.980972024,2.579814339,Beginner,22.24856309,0.811690149,0.7754774,10.53746393,37.84207077,30693.44584,0.110371315,8.742874393,0.110148192,Hydro,Night,0.044490579,31,0.089686416,0.785493527,1.230005405,0.918098814,84.94571229,1,1.635994492,1,30.09793728,1.659576967,0.088812399,217.6160598,16.62720344,9.054128405,4.988599349,Urban,High,0.094690866,1.661989757,27.1373474,0.197213425,8.517518387,196,Simple,11,1.34695194,2117.15595,0.001174889,Plastic,1.624882697,4.242327093,Medium,22.12381909,90,44.24322701,0.688604605,0.248951237,721.0779092,135.8740758,No,7.313052979,0.040171111,1.731240978,High,Suspension,129.5471759,None,3.141805652,2.728829735,504.3909022,Low,1050.618052
Aluminum,0.876439505,6.534113634,120.7505917,20.63672487,41.11250903,Lathe_A,Setting_1,0.16249701,None,None,0.920003942,0.916597154,0.152066628,3.207935502,0.697890694,0.050508937,3.379936554,Basic,0.507218508,3.529811855,0.039901265,0.172784594,33.6706564,4.676998593,185.4884071,0.966897333,1.776802924,Beginner,6.026666006,0.891703052,0.674324033,34.25778523,42.06333188,10907.41005,0.721559435,2.100174139,0.17258041,Hydro,Day,0.089984318,42,0.031877204,0.740758414,22.98252673,0.925630295,85.26639574,2,1.964425429,2,46.62128782,0.738265213,0.090628423,558.3225734,16.74498238,2.19093244,4.942414215,Suburban,High,0.697291374,12.33743457,10.1303723,0.293063338,10.63701298,245,Simple,9,12.38844755,1230.531179,0.008213583,Plastic,3.924245676,2.048282142,High,12.86298456,71,52.51894868,0.362641894,5.779919055,876.1629421,439.0941006,Yes,10.85043593,0.256142989,12.1874506,Low,Electrical,88.55045207,Basic,1.328697576,1.273032697,626.4672794,None,932.9694572
Plastic,0.863967353,14.46558769,94.82359823,27.04527696,49.69156345,Lathe_A,Setting_2,0.008289153,ISO_14001,Major,0.902197494,0.901959093,0.185828867,11.85875072,0.582866455,0.025165988,1.951723688,None,0.262197812,2.631453607,0.012337008,0.555770736,34.27595137,18.39527973,163.7725582,0.077633536,1.341411903,Beginner,64.22882677,0.884703729,0.794557697,20.60874744,14.94329588,11315.90085,0.420868567,7.838390093,0.066490254,Hydro,Day,0.073313731,38,0.251010704,0.824353004,0.605577192,0.946355503,84.31275452,2,1.724666402,1,19.67113723,0.665111845,0.014951289,422.3363038,191.5762233,6.682430106,4.014260811,Urban,Low,0.446083244,19.25220916,44.82995227,0.574057323,25.66738754,282,Moderate,8,3.525981909,3008.075186,0.009257115,None,4.243085172,0.76832436,High,26.6932195,47,95.81163381,0.357657796,6.954697191,521.1369404,320.5742125,No,11.35719901,0.37133515,2.91777302,Moderate,Chassis,137.6257177,Advanced,3.389602932,1.378793329,610.8965111,High,880.443246
Plastic,0.777082175,4.418391471,96.55871017,31.342387,61.12510118,Lathe_A,Setting_1,0.029494766,ISO_9001,Minor,0.596847815,0.930863324,1.845634039,4.620465296,0.654642052,0.029292718,1.831636285,None,0.353091951,4.131031511,0.016459731,0.219971148,13.23204133,7.087475836,357.5640984,0.179579236,8.948876095,Beginner,0.731786823,0.873101657,0.94200909,17.93313245,4.134616712,4066.855304,0.980545236,8.623250795,0.096561545,Wind,Evening,0.047648196,22,0.252829402,0.790553637,0.580958235,0.915358058,67.64799974,2,0.019185129,4,34.90765792,1.512389024,0.095003125,202.4273505,111.6249203,6.368081761,4.051437174,Rural,Low,0.337616029,4.006392306,33.48412339,0.622926825,42.88317187,22,Simple,19,27.40458979,1542.513948,0.090594468,None,3.632464536,4.630604898,Low,20.81388174,28,76.41829715,0.999360336,0.260720955,444.0653533,354.4744654,No,7.37982087,0.143727612,18.43907618,Moderate,Electrical,167.5334578,None,3.575659296,4.228146882,681.4534305,High,926.9443817
Steel,0.860031136,11.67904622,101.3859799,21.13578765,68.6386431,CNC_1,Setting_2,0.054965353,ISO_14001,Major,0.949596106,0.880349508,1.841722775,7.314294731,0.534409022,0.066421787,0.344481016,Advanced,0.67854101,2.347443412,0.003598003,1.637280274,18.96091093,11.74733483,13.12462555,0.23097254,5.554035252,Intermediate,75.57377584,0.848008551,0.892196623,32.11918249,43.74637958,36330.07267,0.911576979,5.264498146,0.198843301,Hydro,Night,0.077069326,43,0.059841699,0.904186105,21.82594644,0.969655324,62.86119506,1,1.206208725,4,40.2473516,1.053345456,0.014107022,408.7054291,121.5896126,4.221844979,9.261396594,Suburban,High,0.329323821,3.141811685,29.24562458,0.36345833,19.27705733,168,Moderate,19,21.72528455,2108.099242,0.096946436,Metal,2.523229837,2.994470536,Medium,16.9629993,35,35.38773326,0.105542892,9.781093715,566.2382443,172.1662006,No,0.220355642,0.169786886,11.24686489,Moderate,Chassis,187.2125321,None,2.765239423,1.793624546,788.9889076,High,810.5833955
Aluminum,0.772807433,4.544175895,90.0226439,20.50032407,50.09641123,Lathe_B,Setting_1,0.070401903,None,Minor,0.473295217,0.855754845,1.780778301,7.954435158,0.848394572,0.07488704,2.371180697,Basic,0.749434265,3.140799671,0.012247115,0.713186543,24.82274822,9.753734233,174.1638225,0.585154112,9.316210298,Beginner,55.06212926,0.983434974,0.713486394,49.73819813,38.05157637,1801.550913,0.356645456,8.803157557,0.039150307,Grid Electricity,Night,0.027069358,19,0.03316215,0.922419271,13.89889639,0.934958047,71.58305607,3,0.064383454,3,35.96793543,1.635682798,0.08386645,290.7609637,35.29917105,2.062575677,9.750999019,Suburban,High,0.252055125,11.81521168,36.81639268,0.427195472,47.41685803,352,Complex,16,13.12338714,1511.266048,0.068151034,Plastic,1.694229227,1.073287261,Medium,26.48620865,52,87.94736751,0.462690163,6.428311079,424.0859849,156.5392899,Yes,10.61726135,0.034074475,6.773888564,Low,Brake Systems,122.469046,Advanced,1.13795978,1.786822701,695.6252019,Low,833.3088914
Steel,0.798524358,13.59177768,119.8368128,22.04951438,63.16402081,Lathe_B,Setting_2,0.135504886,ISO_9001,Major,0.13006014,0.970010722,1.892312053,10.94663674,0.513090509,0.05426671,2.974157976,None,0.927733237,4.702493077,0.022547222,1.678630213,48.47184158,15.08937113,499.4474022,0.660834064,6.290990716,Beginner,5.673677296,0.961733362,0.554444657,38.05286983,49.51024897,25450.43864,0.11400242,7.205705007,0.071162527,Solar,Day,0.088732286,14,0.133667396,0.8762977,4.113699254,0.912341834,66.29577963,1,1.818931133,2,11.03006391,1.155326658,0.060928013,774.54046,192.2054262,1.555870096,9.612845184,Suburban,High,0.296299307,9.899796098,13.45261471,0.050253436,9.090792012,367,Complex,1,7.386954655,4294.043739,0.080100881,Plastic,4.244372404,3.021537359,Medium,10.94927856,39,11.6910976,0.708949512,3.976246055,521.7152464,404.3294945,No,2.628740192,0.290934872,17.75215317,Moderate,Chassis,186.1647781,Basic,1.800382587,0.443792248,501.9723944,Low,1061.386044
Steel,0.702844739,12.91054194,125.9393723,22.85683498,57.22436026,Lathe_A,Setting_3,0.087185839,ISO_14001,None,0.776412902,0.914142021,1.362557011,6.170959373,0.832713474,0.076698844,5.86847659,Basic,0.042673605,3.904650828,0.002842455,0.774715061,45.68005591,11.15503891,237.5354688,0.989970607,7.883137084,Expert,7.517713871,0.84602491,0.856052122,48.17145973,44.50425673,45785.09939,0.264870947,7.246897463,0.188506492,Hydro,Day,0.059059072,2,0.027229517,0.936089144,20.3592839,0.98490513,88.75359919,3,1.749510598,4,23.84326252,1.25549971,0.075588084,681.6940083,148.59599,9.533224859,7.088163512,Suburban,Medium,0.561857935,18.58471762,2.923120895,0.399425219,48.30812359,42,Complex,10,12.89342503,2826.58927,0.055617346,Metal,2.050250128,3.765775033,Low,29.70542898,14,42.41118534,0.663239214,4.986216146,883.6492008,99.10345879,Partial,4.750837771,0.459522043,14.42844509,High,Brake Systems,91.13816134,None,3.053314761,2.320209072,535.6218313,None,1006.665675
